ind,Height, Weight
0,65.78,112.99
1,71.52,136.49
2,69.4,153.03
3,68.22,142.34
4,67.79,144.3
5,68.7,123.3
6,69.8,141.49
7,70.01,136.46
8,67.9,112.37
9,66.78,120.67
10,66.49,127.45
11,67.62,114.14
12,68.3,125.61
13,67.12,122.46
14,68.28,116.09
15,71.09,140
16,66.46,129.5
17,68.65,142.97
18,71.23,137.9
19,67.13,124.04
20,67.83,141.28
21,68.88,143.54
22,63.48,97.9
23,68.42,129.5
24,67.63,141.85
25,67.21,129.72
26,70.84,142.42
27,67.49,131.55
28,66.53,108.33
29,65.44,113.89
30,69.52,103.3
31,65.81,120.75
32,67.82,125.79
33,70.6,136.22
34,71.8,140.1
35,69.21,128.75
36,66.8,141.8
37,67.66,121.23
38,67.81,131.35
39,64.05,106.71
40,68.57,124.36
41,65.18,124.86
42,69.66,139.67
43,67.97,137.37
44,65.98,106.45
45,68.67,128.76
46,66.88,145.68
47,67.7,116.82
48,69.82,143.62
49,69.09,134.93
50,69.91,147.02
51,67.33,126.33
52,70.27,125.48
53,69.1,115.71
54,65.38,123.49
55,70.18,147.89
56,70.41,155.9
57,66.54,128.07
58,66.36,119.37
59,67.54,133.81
60,66.5,128.73
61,69,137.55
62,68.3,129.76
63,67.01,128.82
64,70.81,135.32
65,68.22,109.61
66,69.06,142.47
67,67.73,132.75
68,67.22,103.53
69,67.37,124.73
70,65.27,129.31
71,70.84,134.02
72,69.92,140.4
73,64.29,102.84
74,68.25,128.52
75,66.36,120.3
76,68.36,138.6
77,65.48,132.96
78,69.72,115.62
79,67.73,122.52
80,68.64,134.63
81,66.78,121.9
82,70.05,155.38
83,66.28,128.94
84,69.2,129.1
85,69.13,139.47
86,67.36,140.89
87,70.09,131.59
88,70.18,121.12
89,68.23,131.51
90,68.13,136.55
91,70.24,141.49
92,71.49,140.61
93,69.2,112.14
94,70.06,133.46
95,70.56,131.8
96,66.29,120.03
97,63.43,123.1
98,66.77,128.14
99,68.89,115.48
100,64.87,102.09
101,67.09,130.35
102,68.35,134.18
103,65.61,98.64
104,67.76,114.56
105,68.02,123.49
106,67.66,123.05
107,66.31,126.48
108,69.44,128.42
109,63.84,127.19
110,67.72,122.06
111,70.05,127.61
112,70.19,131.64
113,65.95,111.9
114,70.01,122.04
115,68.61,128.55
116,68.81,132.68
117,69.76,136.06
118,65.46,115.94
119,68.83,136.9
120,65.8,119.88
121,67.21,109.01
122,69.42,128.27
123,68.94,135.29
124,67.94,106.86
125,65.63,123.29
126,66.5,109.51
127,67.93,119.31
128,68.89,140.24
129,70.24,133.98
130,68.27,132.58
131,71.23,130.7
132,69.1,115.56
133,64.4,123.79
134,71.1,128.14
135,68.22,135.96
136,65.92,116.63
137,67.44,126.82
138,73.9,151.39
139,69.98,130.4
140,69.52,136.21
141,65.18,113.4
142,68.01,125.33
143,68.34,127.58
144,65.18,107.16
145,68.26,116.46
146,68.57,133.84
147,64.5,112.89
148,68.71,130.76
149,68.89,137.76
150,69.54,125.4
151,67.4,138.47
152,66.48,120.82
153,66.01,140.15
154,72.44,136.74
155,64.13,106.11
156,70.98,158.96
157,67.5,108.79
158,72.02,138.78
159,65.31,115.91
160,67.08,146.29
161,64.39,109.88
162,69.37,139.05
163,68.38,119.9
164,65.31,128.31
165,67.14,127.24
166,68.39,115.23
167,66.29,124.8
168,67.19,126.95
169,65.99,111.27
170,69.43,122.61
171,67.97,124.21
172,67.76,124.65
173,65.28,119.52
174,73.83,139.3
175,66.81,104.83
176,66.89,123.04
177,65.74,118.89
178,65.98,121.49
179,66.58,119.25
180,67.11,135.02
181,65.87,116.23
182,66.78,109.17
183,68.74,124.22
184,66.23,141.16
185,65.96,129.15
186,68.58,127.87
187,66.59,120.92
188,66.97,127.65
189,68.08,101.47
190,70.19,144.99
191,65.52,110.95
192,67.46,132.86
193,67.41,146.34
194,69.66,145.59
195,65.8,120.84
196,66.11,115.78
197,68.24,128.3
198,68.02,127.47
199,71.39,127.88
